Followers,EngagementRate (%),AdSpend (GBP),ContentQuality,Sales (Units),ID,Timestamp,Notes
106572.0,2.573174871146172,2614.3781948587675,5.2756801191454885,6340,9254,2021-11-27,Pending
77583.0,0.9394984315675532,4975.962514379572,8.75626791367936,5793,1561,2022-02-13,Review
92832.0,2.1761012652155296,4107.769534318886,6.454726997519417,8104,1670,2023-09-25,Pending
53565.0,1.4783757541486553,4293.330464613049,4.31281296087897,7293,6087,2023-02-15,Review
121079.0,3.3741976179329356,5343.549440897207,3.769046633115465,14396,6669,2023-05-28,None
30578.0,2.960609116615305,6640.860427448698,8.643337185416053,8478,5933,2022-01-04,Good
62648.0,4.661459088961558,3594.5211897372737,2.951550238875863,7493,8829,2021-08-28,Check
71757.0,3.3421014926558894,4447.20233454365,1.6655886303503693,6932,7945,2023-02-07,Good
115007.0,3.0891652917157257,3940.505439955562,3.131948518566964,9209,3508,2023-03-19,Good
76227.0,2.7434519524908194,7594.681081184365,3.1517547687668253,11357,2002,2022-07-04,Check
80285.0,3.706794857067449,2767.1830414520728,9.946373072645365,7024,5866,2023-06-15,Good
92638.0,4.634834230665094,6641.859936830851,8.653007795250549,11140,168,2023-08-26,N/A
75998.0,4.023447607695812,3441.009051682889,4.262045176125399,7129,2588,2022-04-17,Review
88361.0,3.762109142835544,5237.971176818418,7.640602393931087,13051,5905,2021-08-11,Pending
95441.0,2.243113203685823,7745.024429172723,8.795960452850101,10191,9529,2022-06-02,None
113183.0,4.866057780926092,3458.3391231292194,6.488731544834412,8828,6384,2023-09-17,Check
128875.0,0.808263333959589,4829.258278306401,5.750920723438886,11123,7824,2021-10-20,None
111054.0,3.632998617521902,2598.5113329869146,3.1118041206767377,7980,9779,2022-09-10,Pending
112759.0,4.179122095322012,4243.473719089614,8.879102217168763,13349,4629,2022-11-25,Review
87963.0,0.994000527758264,6312.486778051965,3.2756553970934945,9314,8560,2021-08-02,None
110094.0,4.934667877572208,3836.6998335868984,4.052541691637086,10072,9291,2022-08-12,Check
59582.0,0.9711030572764452,4413.004392156703,9.585302296256254,2577,6874,2021-11-11,None
97752.0,3.546683083164728,5472.757555838736,7.0389512020751965,9763,6521,2023-05-05,Good
93301.0,0.6180745495204809,£5480,4.719165179751036,9818,8979,2022-12-16,Good
71902.0,4.87820665626666,5245.665306789282,7.985727745176751,6365,6647,2023-04-07,Review
53976.0,3.864101537641888,6611.83791266898,7.851082018659761,10155,9825,2021-07-19,Good
117126.0,2.96%,5438.726281913444,2.687974184850886,11619,210,2021-02-04,None
76723.0,2.331548565067951,1000.0,9.238514819180226,7608,5278,2023-05-01,N/A
85837.0,1.313464636854064,2881.6120588732992,1.0446093267329104,5693,1919,2022-01-22,None
89091.0,3.233103725649847,4859.071451551574,8.764660392920568,10505,718,2021-06-29,N/A
104408.0,1.122668878161372,4141.042220863695,4.943572064568786,10131,4868,2021-04-02,None
106531.0,0.7903067483211522,1766.955993413124,2.1087406439909,5705,7834,2022-06-01,N/A
108021.0,4.837790414247292,4413.500837714542,8.048436061095424,12038,1298,2021-05-31,N/A
110395.0,3.242600613979128,5530.348756836219,3.159228728997842,7182,9193,2022-07-21,Check
20000.0,2.758541811811991,2681.067833115438,3.349005121719174,3830,4617,2022-12-29,Check
102180.0,2.14706026328068,6395.766148304152,2.0584865072778604,9451,3128,2022-06-20,Pending
137351.0,2.0179794957511645,5984.966786805768,2.1833265644175617,14425,9795,2023-06-23,None
68510.0,2.1133970751642974,£2242,6.356049084520103,9258,3979,2021-06-05,Good
101399.0,2.7040369012756984,2424.959399051848,5.350048804641805,9642,9924,2022-05-09,Check
125218.0,0.8533004819483476,4669.102218228797,3.774692730493724,12467,8317,2021-06-13,N/A
84018.0,3.531480889520454,5896.1942868220285,8.148986414380351,9479,4393,2023-05-26,None
